[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\uu.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\template\exceptions.py first seen with mtime 1578010906.6436348
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1578010907.3848555
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\encodings\latin_1.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\asyncio\futures.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\concurrent\futures\process.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\DLLs\_multiprocessing.pyd first seen with mtime 1499504306.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1578010907.393942
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\json\scanner.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\templatetags\static.py first seen with mtime 1578010906.7016482
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1578010906.0665326
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\stat.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\DLLs\_lzma.pyd first seen with mtime 1499504340.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\distutils\dep_util.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\dis.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\http\server.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1578010905.5270772
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1578010886.90191
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\hckrieger\__init__.py first seen with mtime 1578010267.653996
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\http\response.py first seen with mtime 1578010906.5946224
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\views\static.py first seen with mtime 1578010907.369942
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\importlib\machinery.py first seen with mtime 1497743838.0
